            1   -1.609773    
            2   -1.870382    
            3   -1.941097    
            4   0.6708455    
            5    7.925778    
            6    3.657370    
            7   -2.971809    
            8   0.9074125    
            9    5.794753    
           10   0.8096702    
           11   -2.314869    
           12  -0.1107146    
           13    7.676215    
           14   0.5243583    
           15    3.386778    
           16    3.463465    
           17    3.873398    
           18    2.816662    
           19   -4.335114    
           20   0.6541364    
           21    2.174877    
           22    6.834084    
           23  -0.6530434    
           24   -3.664289    
           25    1.991567    
           26   -1.322594    
           27    1.484248    
           28    11.08080    
           29   0.9043774    
           30    1.843872    
           31   0.2621839    
           32    1.472473    
           33    2.370394    
           34    4.117298    
           35    5.723350    
           36   4.3650188E-02
           37   -4.699305    
           38   0.3076303    
           39    4.900160    
           40    9.382300    
