            1    8.038287    
            2   0.3743033    
            3    1.496720    
            4    4.784620    
            5    6.218468    
            6   -3.563281    
            7   -2.432460    
            8  -4.1315403E-02
            9    5.242833    
           10    4.582194    
           11   -3.582564    
           12    4.564795    
           13    5.847941    
           14    5.371799    
           15   -2.212750    
           16   -3.707625    
           17    1.418033    
           18    3.513365    
           19    2.614633    
           20    4.314693    
           21    4.523201    
           22   -4.149380    
           23   0.9928949    
           24   -1.460518    
           25    3.891499    
           26    9.554811    
           27    1.843444    
           28    5.113300    
           29    5.708385    
           30    1.087844    
           31    4.983132    
           32    6.370003    
           33    1.413589    
           34    6.820255    
           35    4.074508    
           36  -0.2305841    
           37    4.070059    
           38    8.452363    
           39   -1.608278    
           40    3.733951    
