            1   -1.128857    
            2   0.3444499    
            3    10.30405    
            4  -0.1941409    
            5   0.8629428    
            6    2.842498    
            7    9.644773    
            8    1.674568    
            9  -0.7932773    
           10    4.968527    
           11   0.2152371    
           12    2.110750    
           13    4.677304    
           14    8.052619    
           15   0.7125561    
           16   -4.384708    
           17   0.3014099    
           18   0.5644542    
           19    5.268368    
           20    6.218653    
           21   -2.774821    
           22    4.277060    
           23    4.232925    
           24    1.142978    
           25    3.327487    
           26    6.495154    
           27   -2.611799    
           28   -2.179665    
           29   0.1074676    
           30    5.021816    
           31    10.67979    
           32   -1.087691    
           33    1.521520    
           34    5.846591    
           35    8.686261    
           36    2.037854    
           37   -3.256793    
           38   -2.997656    
           39    1.063096    
           40  -0.9916270    
