   -1.090616       0.4090560        10.33295      -0.1529481     
   0.7860208        2.887293        9.581163        1.737670     
  -0.8667886        4.986146       0.1975836        2.129953     
    4.722108        8.060474       0.6110901       -4.356211     
   0.2882520       0.5990594        5.358036        6.206967     
   -2.788682        4.319597        4.263056        1.086469     
    3.308174        6.514294       -2.637477       -2.185822     
   9.0302460E-02    5.056794        10.73980       -1.080400     
    1.438733        5.895326        8.720971        1.948850     
   -3.305765       -3.032058        1.067952       -1.032472    
